"SEX" "LENGTH" "DIAM" "HEIGHT" "WHOLE" "SHUCK" "VISCERA" "SHELL" "RINGS" "CLASS"
"1" "M" 0.455 0.365 0.095 0.514 0.2245 0.101 0.15 15 "A6"
"2" "M" 0.35 0.265 0.09 0.2255 0.0995 0.0485 0.07 7 "A2"
"3" "F" 0.53 0.42 0.135 0.677 0.2565 0.1415 0.21 9 "A3"
"4" "M" 0.44 0.365 0.125 0.516 0.2155 0.114 0.155 10 "A3"
"5" "I" 0.33 0.255 0.08 0.205 0.0895 0.0395 0.055 7 "A2"
"6" "I" 0.425 0.3 0.095 0.3515 0.141 0.0775 0.12 8 "A2"
"7" "F" 0.53 0.415 0.15 0.7775 0.237 0.1415 0.33 20 "A6"
"8" "F" 0.545 0.425 0.125 0.768 0.294 0.1495 0.26 16 "A6"
"9" "M" 0.475 0.37 0.125 0.5095 0.2165 0.1125 0.165 9 "A3"
"10" "F" 0.55 0.44 0.15 0.8945 0.3145 0.151 0.32 19 "A6"
"11" "F" 0.525 0.38 0.14 0.6065 0.194 0.1475 0.21 14 "A5"
"12" "M" 0.43 0.35 0.11 0.406 0.1675 0.081 0.135 10 "A3"
"13" "M" 0.49 0.38 0.135 0.5415 0.2175 0.095 0.19 11 "A4"
"14" "F" 0.535 0.405 0.145 0.6845 0.2725 0.171 0.205 10 "A3"
"15" "F" 0.47 0.355 0.1 0.4755 0.1675 0.0805 0.185 10 "A3"
"16" "M" 0.5 0.4 0.13 0.6645 0.258 0.133 0.24 12 "A4"
"17" "I" 0.355 0.28 0.085 0.2905 0.095 0.0395 0.115 7 "A2"
"18" "F" 0.44 0.34 0.1 0.451 0.188 0.087 0.13 10 "A3"
"19" "M" 0.365 0.295 0.08 0.2555 0.097 0.043 0.1 7 "A2"
"20" "M" 0.45 0.32 0.1 0.381 0.1705 0.075 0.115 9 "A3"
"21" "M" 0.355 0.28 0.095 0.2455 0.0955 0.062 0.075 11 "A4"
