Y,X,region,year
115.72,2726.4,A,1
130.6,3770,A,1
172.8,3490,A,1
135.6,4788,A,1
128.8,3932,A,1
177.2,5634,A,1
236.2,5370,A,1
201,5042,A,1
152.6,4254,A,1
152,4368,B,1
168,3980,B,1
165,4870,B,1
219.4,4198,B,1
177,3872,B,1
217.16,3832,B,1
179.92,3726,B,1
117.48,3259.2,B,1
145.48,2715.2,B,1
156.8,3288,B,1
134.8,3788,B,1
188.8,4002,B,1
224.12,4416,C,1
213.56,4442,C,1
154.8,3348,C,1
134.8,3018,C,1
137,2768,C,1
122.2,2436,C,1
130.6,2974,C,1
171.2,3752,C,1
105.6,2794,C,1
115.96,2878,C,1
102.56,2718,C,1
107.16,1684.8,C,1
96.12,1960,C,1
151,3152,C,1
146,3480,C,1
156.6,3628,C,1
209.8,3840,D,1
146.6,3402,D,1
275.6,4176,D,1
200.4,4094,D,1
201.8,3676,D,1
208,3864,D,1
207.2,3506,D,1
228.6,5138,D,1
219.8,4320,D,1
206.04,4012,D,1
278.4,5114,D,1
217.04,3040,D,1
169,3704,D,1
158,3176,A,2
118,4038,A,2
240,3664,A,2
116,5190,A,2
140,4618,A,2
166,6032,A,2
302,5822,A,2
208,5428,A,2
182,4358,A,2
124,4538,B,2
168,4344,B,2
158,5482,B,2
246,4870,B,2
198,4246,B,2
243.2,3361.6,B,2
198.4,3240,B,2
134,4034,B,2
134,2980,B,2
154,3272,B,2
76,3998,B,2
172,4126,B,2
239.8,4088,C,2
238.2,4003.2,C,2
159,3656,C,2
97,2460,C,2
109,2848,C,2
97,2280,C,2
111,3082,C,2
181,3902,C,2
79,2810,C,2
62.2,2142.4,C,2
62.2,1755.2,C,2
59,1682,C,2
67,2164,C,2
123,2788,C,2
69,3280,C,2
109,3578,C,2
256,3404,D,2
120,2856,D,2
256,3900,D,2
164,4200,D,2
234,2822,D,2
194,3574,D,2
182,3100,D,2
230,5434,D,2
210,4896,D,2
196.8,3323.2,D,2
326,5456,D,2
324,5812,D,2
204,4546,D,2
90,2594,A,3
82,3862,A,3
160,2728,A,3
142,5172,A,3
220,4266,A,3
254,6484,A,3
234,4232,A,3
190,6224,A,3
220,4494,A,3
62,4730,B,3
148,4522,B,3
236,6212,B,3
206.4,3347.2,B,3
163.2,3179.2,B,3
216,4548,B,3
84,4444,B,3
82,4050,B,3
112,4270,B,3
80,3298,B,3
156,4360,B,3
84,4420,B,3
265.4,4628.8,C,3
243,4294.4,C,3
161,4136,C,3
67,2362,C,3
129,2946,C,3
105,2340,C,3
139,3192,C,3
103.8,3200,C,3
60.6,2112,C,3
63,2598,C,3
55,2154,C,3
69,1602,C,3
81,2066,C,3
127,2356,C,3
107,3084,C,3
177,3378,C,3
224,3542,D,3
156,3352,D,3
266,4332,D,3
228,4798,D,3
84,4530,D,3
284,3714,D,3
250,2716,D,3
161.6,4660.8,D,3
244,4684,D,3
252,4100,D,3
284,5582,D,3
212,5932,D,3
242,5324,D,3
